feature_name,feature_importance,sensor,agg,axis
fBodyGyro-kurtosis()-Y,0.0008821493524171886,fBodyGyro,kurtosis(),Y
tGravityAccMag-mean(),0.0008691244730651435,tGravityAccMag,mean(),
"fBodyAccJerk-bandsEnergy()-1,24.1",0.0008672222017509549,fBodyAccJerk,bandsEnergy(),"1,24.1"
"fBodyGyro-bandsEnergy()-17,24.2",0.0008558935934872021,,,
fBodyGyro-maxInds-Y,0.0008396182906904818,fBodyGyro,maxInds,Y
fBodyGyro-max()-Z,0.000817664008147061,fBodyGyro,max(),Z
tBodyAccJerk-std()-Z,0.0008159965759913844,tBodyAccJerk,std(),Z
fBodyGyro-energy()-Y,0.0008148072999913911,fBodyGyro,energy(),Y
fBodyAcc-kurtosis()-X,0.0008120411475555289,fBodyAcc,kurtosis(),X
"fBodyGyro-bandsEnergy()-1,24.2",0.0008108478957786298,,,
"tBodyGyroJerk-correlation()-Y,Z",0.0008026542132753782,tBodyGyroJerk,correlation(),"Y,Z"
"tBodyAccJerk-correlation()-X,Y",0.0007916826875514674,tBodyAccJerk,correlation(),"X,Y"
fBodyGyro-skewness()-Z,0.0007837424486727493,fBodyGyro,skewness(),Z
subject,0.0007797108026810956,,,
fBodyBodyGyroMag-meanFreq(),0.0007790937274255034,fBodyBodyGyroMag,meanFreq(),
fBodyGyro-std()-Z,0.0007532616805617866,fBodyGyro,std(),Z
tBodyGyro-mean()-Y,0.0007389633448689702,tBodyGyro,mean(),Y
tBodyAccJerkMag-std(),0.000725901314803368,tBodyAccJerkMag,std(),
"fBodyGyro-bandsEnergy()-33,48",0.0006980864631653258,fBodyGyro,bandsEnergy(),"33,48"
"fBodyGyro-bandsEnergy()-33,48",0.0006980864631653258,fBodyGyro,bandsEnergy(),"33,48"
"fBodyGyro-bandsEnergy()-33,48",0.0006980864631653258,fBodyGyro,bandsEnergy(),"33,48"
fBodyAcc-kurtosis()-Y,0.0006904248973449039,fBodyAcc,kurtosis(),Y
tBodyGyro-std()-Z,0.0006903088087686912,tBodyGyro,std(),Z
tBodyGyroJerk-entropy()-X,0.0006858493808979512,tBodyGyroJerk,entropy(),X
"fBodyAcc-bandsEnergy()-17,32.2",0.0006837754394670086,fBodyAcc,bandsEnergy(),"17,32.2"
"fBodyAcc-bandsEnergy()-1,8.2",0.0006793030695190587,fBodyAcc,bandsEnergy(),"1,8.2"
"fBodyAcc-bandsEnergy()-1,24.2",0.0006790938486351131,fBodyAcc,bandsEnergy(),"1,24.2"
fBodyAcc-max()-Y,0.0006771796740775357,fBodyAcc,max(),Y
fBodyAcc-std()-Z,0.0006710024217294917,fBodyAcc,std(),Z
"tBodyAccJerk-correlation()-X,Z",0.0006561260143898393,tBodyAccJerk,correlation(),"X,Z"
tBodyAccJerk-mad()-Z,0.0006488252052658552,tBodyAccJerk,mad(),Z
tGravityAcc-std()-Z,0.0006455114720681282,tGravityAcc,std(),Z
"fBodyGyro-bandsEnergy()-1,16.2",0.0006450916224730659,,,
"fBodyAcc-bandsEnergy()-1,16.2",0.0006439181945164733,fBodyAcc,bandsEnergy(),"1,16.2"
"fBodyGyro-bandsEnergy()-25,32.1",0.0006378430741383603,,,
fBodyAccJerk-mean()-Z,0.0006344658030246278,fBodyAccJerk,mean(),Z
"tBodyGyroJerk-arCoeff()-X,1",0.0006322508359026026,tBodyGyroJerk,arCoeff(),"X,1"
"tBodyGyro-correlation()-X,Z",0.0006319476561682025,tBodyGyro,correlation(),"X,Z"
"tBodyGyroJerk-correlation()-X,Z",0.0006228020444122459,tBodyGyroJerk,correlation(),"X,Z"
tBodyAccJerk-energy()-Z,0.0006227634039672383,tBodyAccJerk,energy(),Z
fBodyBodyGyroJerkMag-energy(),0.000620641833737839,fBodyBodyGyroJerkMag,energy(),
"fBodyGyro-bandsEnergy()-17,24",0.000617962693785163,fBodyGyro,bandsEnergy(),"17,24"
"fBodyGyro-bandsEnergy()-17,24",0.000617962693785163,fBodyGyro,bandsEnergy(),"17,24"
"fBodyGyro-bandsEnergy()-17,24",0.000617962693785163,fBodyGyro,bandsEnergy(),"17,24"
fBodyGyro-kurtosis()-X,0.0006094456925004633,fBodyGyro,kurtosis(),X
"fBodyAcc-bandsEnergy()-17,24",0.0006046628057164651,fBodyAcc,bandsEnergy(),"17,24"
tBodyGyro-energy()-Z,0.0005913148984231726,tBodyGyro,energy(),Z
tBodyGyro-mad()-Z,0.0005869799323158954,tBodyGyro,mad(),Z
"fBodyAccJerk-bandsEnergy()-1,16.2",0.0005739284597010783,fBodyAccJerk,bandsEnergy(),"1,16.2"
"angle(tBodyGyroMean,gravityMean)",0.0005662387476434476,angle,tBodyGyroMean,gravityMean
tBodyAccJerk-max()-Z,0.0005634295940777637,tBodyAccJerk,max(),Z
fBodyGyro-mean()-Z,0.000555903266426951,fBodyGyro,mean(),Z
"tGravityAcc-correlation()-X,Z",0.0005548503748041523,tGravityAcc,correlation(),"X,Z"
tGravityAcc-iqr()-Z,0.0005507743429502302,tGravityAcc,iqr(),Z
fBodyAcc-meanFreq()-Y,0.0005497787426398051,fBodyAcc,meanFreq(),Y
